"opa_no","x","y"
"123075405",-75.1669411,40.0289918
"123122700",-75.176061,40.024252
"124059500",-75.17776715,40.0276091
"884343310",-75.1386608,39.97615915
"242055310",-75.1882576,39.9649578
"882007040",-75.173435,40.079198
"881061210",-75.17725455,40.02369495
"888081133",-75.1732106,39.9495285
"888081303",-75.1732106,39.9495285
"888081325",-75.1732106,39.9495285
"888081405",-75.1732106,39.9495285
"888116448",-75.16681605,39.9547137
"122051310",-75.1724505,40.03489735
"183131105",-75.1407259,39.9762369
"023038620",-75.15295,39.94113285
"172536300",-75.1579831,40.0469708
"362270800",-75.1952762,39.9398093
"881146629",-75.1624208,39.9773957
"888021892",-75.16203455,39.94111045
"871568870",-75.2216802,39.9598518
"884588239",-75.1373274,39.97123415
"071098017",-75.1322766,39.9931419
"132404200",-75.151529,40.026469
"171348700",-75.147343,40.052326
"172533100",-75.157963,40.0453463
"882970325",-75.137035,39.98027995
"202270000",-75.1548473,39.9761819
"881125010",-75.1856244,39.98864335
"882061320",-75.2248581,39.92187585
"404018401",-75.23951,39.9128484
"882007080",-75.173334,40.0795399
"621484605",-75.076949,40.027892
"888110744",-75.16980395,39.9489473
"881006815",-75.1384205,39.97383305
"051197900",-75.15254715,39.943544
"884341835",-75.16700195,40.00490235
"882969475",-75.1765894,40.0244204
"882966660",-75.13804345,39.975816
"882013160",-75.136757,39.981517
"882013180",-75.13722445,39.981684
"191019100",-75.13291415,39.9846635
"242012701",-75.1921829,39.96336415
"493061600",-75.1408914,40.0517701
"881163300",-75.0815744,40.03346425
"183153800",-75.1414407,39.97827995
"888081018",-75.1732106,39.9495285
"057171210",-75.13653195,39.9652035
"884413735",-75.1569996,39.9374693
"123117900",-75.1717943,40.02843245
"191417700",-75.13428135,39.98513905
"404127600",-75.2445381,39.9131131
"422094200",-75.12943275,40.0238663
"572064510",-75.009564,40.053706
"023210615",-75.1632027,39.9420841
"886760915",-75.1987755,39.9325505
"884588605",-75.13935445,39.97177945
"888080983",-75.1732106,39.9495285
"884524800",-75.12993135,40.00735885
"057173300",-75.1399782,39.9651111
"141096300",-75.153348,39.964124
"141096500",-75.153323,39.9642
"141184200",-75.157757,39.964109
"141184300",-75.157716,39.9641
"172527600",-75.1581803,40.0423261
"183064410",-75.1348254,39.9748921
"351027200",-75.0929124,40.027636
"583085009",-74.9911549,40.1241089
"884132524",-75.1747854,40.0135425
"888081490",-75.1732106,39.9495285
"881041645",-75.16335555,39.94304185
"171292700",-75.14927935,40.04845035
"182209700",-75.14228275,39.9708124
"882015170",-75.09237285,40.0080319
"461019700",-75.212669,39.95248
"583085031",-74.9906489,40.1245296
"592123500",-75.1782722,40.0443926
"642217500",-75.035397,40.041531
"881820305",-75.2069372,39.9752573
"888081017",-75.1732106,39.9495285
"888116336",-75.16681605,39.9547137
"211175400",-75.2223795,40.0300978
"241241000",-75.2003749,39.9597089
"242076920",-75.1971953,39.9641635
"871542650",-75.18370445,39.988009
"461019900",-75.212913,39.952628
"491094610",-75.14478315,40.02558625
"884350675",-75.13951875,40.03298635
"888081337",-75.1732106,39.9495285
"621485105",-75.076585,40.027943
"051196710",-75.1469515,39.94272095
"111086725",-75.1636816,40.00018205
"882963875",-75.175704,40.0253635
"133025700",-75.163852,40.021956
"262291500",-75.17804685,39.9189356
"888081231",-75.1732106,39.9495285
"882181534",-75.1004679,40.0290123
"888116070",-75.16681605,39.9547137
"886601500",-75.20918095,39.9760724
"111086110",-75.16338395,40.00014445
"122092800",-75.158376,40.049777
"133021600",-75.1646944,40.0210137
"181385400",-75.1285234,39.9724843
"882936335",-75.0841521,40.061009
"882964755",-75.1602139,39.9178664
"882969640",-75.1666815,39.91902015
"404013600",-75.2393548,39.9131711
"422372800",-75.12412575,40.0330426
"774510100",-75.2345936,39.9964016
"888081022",-75.1732106,39.9495285
"888081175",-75.1732106,39.9495285
"883089020",-75.0695129,40.03557875
"362343610",-75.19973185,39.93743915
"882061350",-75.2451727,39.9242466
"884353015",-75.17054655,39.92519735
"057168410",-75.1382505,39.964854
"171168300",-75.147871,40.043639
"871533980",-75.1733178,39.9246007
"881330800",-75.2042965,39.9545965
"351190000",-75.1075802,40.04263225
"882922055",-75.0850822,40.0602582
"404019700",-75.238926,39.9123792
"541124000",-75.075541,40.040584
"621488000",-75.076077,40.028788
"621488100",-75.075841,40.028718
"888081449",-75.1732106,39.9495285
"888081450",-75.1732106,39.9495285
"888081492",-75.1732106,39.9495285
"888081494",-75.1732106,39.9495285
"888081497",-75.1732106,39.9495285
"888116086",-75.16681605,39.9547137
"881002290",-75.16246985,39.94253785
"882738500",-75.0699207,40.0354861
"774605505",-75.2173764,39.975324
"881070771",-75.1577292,40.0066992
"132406500",-75.1485861,40.0264686
"172542200",-75.1575639,40.051375
"884343635",-75.13707445,39.98038805
"884343645",-75.13748555,39.97994855
"882921985",-75.094583,40.0510325
"411109000",-75.05993685,40.01626295
"432186300",-75.15030645,40.00739355
"882937455",-75.173334,40.0795399
"882465150",-75.17202495,39.9523191
"888080961",-75.1732106,39.9495285
"888081482",-75.1732106,39.9495285
"883577000",-75.05340035,40.0568129
"882918165",-75.14746705,39.9615004
"171214500",-75.1444749,40.0456884
"242235300",-75.201381,39.963265
"461017000",-75.212915,39.952755
"882924376",-75.1708503,39.92547695
"561160100",-75.06329235,40.0599131
"883803700",-75.05321715,40.05711465
"888081445",-75.1732106,39.9495285
"882971710",-75.13951665,39.9605627
"124060600",-75.1786388,40.0267007
"171299500",-75.1513643,40.0496559
"181337600",-75.1305558,39.9699956
"884345510",-75.1214909,39.9903279
"884590850",-75.13829435,39.98058015
"884590800",-75.13901705,39.9771352
"124030401",-75.1783185,40.02436535
"884343160",-75.13899775,39.9726599
"183016100",-75.1412326,39.9764921
"884590830",-75.1391656,39.9774686
"882920866",-75.1734749,39.9246598
"888081008",-75.1732106,39.9495285
"888021900",-75.16203455,39.94111045
"888180284",-75.13532095,39.9695695
"151102610",-75.1726347,39.9708001
"881577275",-75.17558895,39.927285
